features,scaled,rand,sse,sil,fm,clusters
phi,0,0.5943233082706767,94.08399185139363,0.30773629846307854,0.612519460456027,3
rho,1,0.5255513784461153,20.897920022639532,0.048850382309794264,0.47352635773702345,3
rho,0,0.5255513784461153,861.3200123633533,0.048850382309794264,0.47352635773702345,3
all,1,0.5660526315789474,5832.375916503097,0.13270255132462702,0.49666407773051896,3
all,0,0.4987092731829574,6504887.573770107,-0.0040175733237074055,0.4076753960832041,3
MinTemp,1,0.4990100250626566,37.911652397785375,-0.0032969579894095713,0.3629565194090005,4
MinTemp,0,0.4990100250626566,1466.1403367062514,-0.0032969579894095713,0.3629565194090005,4
MaxTemp,1,0.5141979949874687,47.49816449539585,0.062060670419345224,0.39713243285510963,4
MaxTemp,0,0.5141979949874687,2422.219838361095,0.062060670419345224,0.39713243285510963,4
Rainfall,1,0.5194110275689223,12.739431329297052,0.12979406698923543,0.6488492671106616,4
Rainfall,0,0.5194110275689223,2639.4502809147666,0.12979406698923543,0.6488492671106616,4
WindGustDir,1,0.49918546365914784,24.270578332940534,-0.0010125961569133666,0.35870140027776254,4
WindGustDir,0,0.49973684210526315,257301.39109509558,-0.0028248536717092377,0.36233215805827307,4
WindGustSpeed,1,0.5040977443609023,44.652932223439365,0.0024205855817277574,0.4133048776364534,4
WindGustSpeed,0,0.5040977443609023,8466.067705197947,0.0024205855817277574,0.4133048776364534,4
WindDir9am,1,0.4986591478696742,24.716535238812803,-0.0029821821971194483,0.35870443381322953,4
WindDir9am,0,0.4986591478696742,253798.73147002346,-0.0029821821971194483,0.35870443381322953,4
WindDir3pm,1,0.5020426065162907,22.90758937590575,0.004262192651383719,0.35738121459878464,4
WindDir3pm,0,0.5020426065162907,258048.14811384826,0.004262192651383719,0.35738121459878464,4
WindSpeed9am,1,0.50031328320802,47.36358631119608,0.00041626585469567656,0.38493747241630977,4
WindSpeed9am,0,0.50031328320802,3815.1580512017713,0.00041626585469567656,0.38493747241630977,4
WindSpeed3pm,1,0.4988345864661654,38.996295675322706,-0.0034996945351289123,0.38921354903383215,4
WindSpeed3pm,0,0.4988345864661654,3401.7936767428714,-0.0034996945351289123,0.38921354903383215,4
Humidity9am,1,0.5259774436090225,41.92040415999369,0.0670312304858452,0.4114770914311817,4
Humidity9am,0,0.5259774436090225,12248.859113692426,0.0670312304858452,0.4114770914311817,4
Humidity3pm,1,0.557531328320802,31.789717665797664,0.07225603086587301,0.4358897956296308,4
Humidity3pm,0,0.557531328320802,15933.630378080441,0.07225603086587301,0.4358897956296308,4
Pressure9am,1,0.5070300751879699,47.11446326495954,0.02499614784804979,0.4046378246228991,4
Pressure9am,0,0.5070300751879699,2160.458830884709,0.02499614784804979,0.4046378246228991,4
Pressure3pm,1,0.5034962406015038,48.2511185749209,0.017088391285122947,0.4122644402899411,4
Pressure3pm,0,0.5034962406015038,2214.6235754165245,0.017088391285122947,0.4122644402899411,4
Temp9am,1,0.5092606516290726,41.38274526785918,0.0200428560096488,0.3790940293478998,4
Temp9am,0,0.5092606516290726,1498.5564035974078,0.0200428560096488,0.3790940293478998,4
Temp3pm,1,0.5180075187969925,46.373184384429294,0.015479004825328374,0.3905495114681203,4
Temp3pm,0,0.5180075187969925,2216.5664912063935,0.015479004825328374,0.3905495114681203,4
RainToday,1,0.5789473684210527,1.6790411329563473e-28,0.24431896409749673,0.6098040248179332,4
RainToday,0,0.5789473684210527,1.370645822821508e-29,0.24431896409749673,0.6098040248179332,4
phi,1,0.5891979949874687,36.43151696592034,0.2640490020877218,0.5985578778483309,4
phi,0,0.5891979949874687,46.795602637559675,0.2640490020877218,0.5985578778483309,4
rho,1,0.5315664160401002,11.443534010959988,0.11777439703035487,0.4442267561223696,4
rho,0,0.5315664160401002,471.65195603785116,0.11777439703035487,0.4442267561223696,4
all,1,0.5699122807017544,5368.131803736511,0.13721563988224467,0.4649788064651748,4
all,0,0.49853383458646616,5440219.143955701,-0.005096031883002361,0.3660535417736272,4
MinTemp,1,0.5054260651629072,25.13825427867887,0.012198230316212127,0.3319100899435435,5
MinTemp,0,0.5054260651629072,972.1604377893742,0.012198230316212127,0.3319100899435435,5
MaxTemp,1,0.5092230576441102,30.544853555355928,0.013472700676029665,0.35120442341360725,5
MaxTemp,0,0.5092230576441102,1557.6675652127408,0.013472700676029665,0.35120442341360725,5
Rainfall,1,0.5196616541353384,7.83307261602403,0.1343510853608194,0.6450211111175472,5
Rainfall,0,0.5196616541353384,1622.9143344290253,0.1343510853608194,0.6450211111175472,5
WindGustDir,1,0.4994110275689223,14.041754616482802,0.0010565135725106934,0.31976587797875466,5
WindGustDir,0,0.4994110275689223,147421.3947161321,0.0010565135725106934,0.31976587797875466,5
WindGustSpeed,1,0.5006390977443609,31.811247168166727,-0.0007348547477455431,0.35554266455986616,5
WindGustSpeed,0,0.5006390977443609,6031.3211003669685,-0.0007348547477455431,0.35554266455986616,5
WindDir9am,1,0.49918546365914784,13.88259443737864,0.0006091955429729384,0.3239717711930452,5
WindDir9am,0,0.49918546365914784,142551.72999274876,-0.003546113926240788,0.3239717711930452,5
WindDir3pm,1,0.5018922305764411,14.430788435396435,0.006673523586795362,0.3188956467989099,5
WindDir3pm,0,0.5018922305764411,162559.14886851996,0.006673523586795362,0.3188956467989099,5
WindSpeed9am,1,0.5004135338345864,32.442017753405054,0.0041275513749962035,0.37597865956508497,5
